"orzo","orzo"
"rigatoni","rigatoni"
"spaghetti","spaghetti"
"gnocchi","gnocchi"
"fusilli","fusilli"
"farfalle","farfalle"
"penne","penne"
"tortellini","tortellini"
"rotelle","rotelle"
"lasagne","lasagne"
"vermicelli","vermicelli"
"ramen","ramen"
"soba","soba"
"udon","udon"
"rice vermicelli","rice vermicelli"
"noodle","noodle"
"shittake","shittake"
"morel","morel"
"enokitake","enokitake"
"oyster mushroom","oyster mushroom"
"white mushroom","white mushroom"
"white button","white button"
"portobello","portobello"
"apple","apple"
"pineapple","pineapple"
"grapefruit","grapefruit"
"banana","banana"
"orange","orange"
"blueberry","blueberry"
"strawberry","strawberry"
"grape","grape"
"raisin","raisin"
"cranberry","cranberry"
"lemon","lemon"
"cherry","cherry"
"pear","pear"
"mango","mango"
"avocado","avocado"
"peach","peach"
"melon","melon"
"apricot","apricot"
"plum","plum"
"kiwi","kiwi"
"watermelon","watermelon"
"blackberry","blackberry"
"papaya","papaya"
"cantaloupe","cantaloupe"
"berry","berry"
"tangerine","tangerine"
"coconut","coconut"
"cranberry","cranberry"
"lychee","lychee"
"date","date"
"passion fruit","passion fruit"
"gooseberry","gooseberry"
"persimmon","persimmon"
"lime","lime"
"nectarine","nectarine"
"fig","fig"
"pomegranate","pomegranate"
"spinach","spinach"
"kale","kale"
"cabbage","cabbage"
"broccoli","broccoli"
"dandelion","dandelion"
"leafy green","leafy green"
"chard","chard"
"lettuce","lettuce"
"rapini","rapini"
"endive","endive"
"napa cabbage","napa cabbage"
"cauliflower","cauliflower"
"tomato","tomato"
"squash","squash"
"cucumber","cucumber"
"bell pepper","bell pepper"
"pumpkin","pumpkin"
"corn","corn"
"maize","maize"
"brussel sprout","brussel sprout"
"artichoke","artichoke"
"bell pepper","bell pepper"
"chili pepper","chili pepper"
"red pepper","red pepper"
"arugula","arugula"
"watercress","watercress"
"butternut squash","butternut squash"
"eggplant              ","eggplant              "
"diced tomato","diced tomato"
"crushed tomato","crushed tomato"
"tomato paste","tomato paste"
"jalapeno","jalapeno"
"radish","radish"
"bok choy","bok choy"
"bean","bean"
"soybean","soybean"
"nut","nut"
"lentil","lentil"
"pea","pea"
"okra","okra"
"green bean","green bean"
"kidney bean","kidney bean"
"navy bean","navy bean"
"pinto bean","pinto bean"
"garbanzo bean","garbanzo bean"
"wax bean","wax bean"
"mung bean","mung bean"
"snow pea","snow pea"
"lima pea","lima pea"
"alfalfa","alfalfa"
"clover","clover"
"snap pea","snap pea"
"sugar snap pea","sugar snap pea"
"snow pea","snow pea"
"peanut butter","peanut butter"
"almond butter","almond butter"
"cashew butter","cashew butter"
"peanut","peanut"
"almond","almond"
"walnut","walnut"
"cashew","cashew"
"pecan","pecan"
"pistachio","pistachio"
"hazelnut","hazelnut"
"brazil nut","brazil nut"
"pine nut","pine nut"
"macadamia","macadamia"
"chestnut","chestnut"
"carrot","carrot"
"parsnip","parsnip"
"turnip","turnip"
"rutabaga","rutabaga"
"radish","radish"
"celery","celery"
"daikon","daikon"
"kohirabi","kohirabi"
"scalllion","scalllion"
"jicama","jicama"
"horseradish","horseradish"
"onion","onion"
"shallot","shallot"
"vidalia onion","vidalia onion"
"red onion","red onion"
"pearl onion","pearl onion"
"leek","leek"
"water chestnut","water chestnut"
"spring onion","spring onion"
"yellow onion","yellow onion"
"white onion","white onion"
"asparagus","asparagus"
"chicory","chicory"
"garlic","garlic"
"chicken egg","chicken egg"
"duck egg","duck egg"
"goose egg","goose egg"
"quail egg","quail egg"
"lamb chop","lamb chop"
"lamb loin chop","lamb loin chop"
"lamb rack","lamb rack"
"rack of lamb","rack of lamb"
"lamb rib","lamb rib"
"ground lamb","ground lamb"
"lamb shank","lamb shank"
"lamb sirloin","lamb sirloin"
"boneless lamb leg","boneless lamb leg"
"bone-in lamb leg","bone-in lamb leg"
"pork shoulder","pork shoulder"
"pork butt","pork butt"
"pork loin","pork loin"
"pork chop","pork chop"
"loin chop","loin chop"
"sirloin chop","sirloin chop"
"sirloin steak","sirloin steak"
"baby back rib","baby back rib"
"riblet","riblet"
"rack of pork","rack of pork"
"pork loin half rib","pork loin half rib"
"pork tenderloin","pork tenderloin"
"sirloin roast","sirloin roast"
"spare rib","spare rib"
"pork sausage","pork sausage"
"ground pork","ground pork"
"bacon","bacon"
"ham","ham"
"t-bone steak","t-bone steak"
"strip steak","strip steak"
"chuck steak","chuck steak"
"skirt steak","skirt steak"
"brisket","brisket"
"flank steak","flank steak"
"short loin","short loin"
"flat iron steak","flat iron steak"
"short ribs","short ribs"
"rib eye steak","rib eye steak"
"rib steak","rib steak"
"round steak","round steak"
"sirloin steak","sirloin steak"
"top sirloin","top sirloin"
"bottom sirloin","bottom sirloin"
"hanger steak","hanger steak"
"beef tenderloin","beef tenderloin"
"ground beef","ground beef"
"beef sausage","beef sausage"
"chicken breast","chicken breast"
"chicken wing","chicken wing"
"chicken drum","chicken drum"
"chicken drumstick","chicken drumstick"
"chicken thigh","chicken thigh"
"chicken leg","chicken leg"
"whole chicken","whole chicken"
"chicken quarter","chicken quarter"
